Id,MlsNumber,BathroomTotal,Bedrooms,SizeInterior,StoriesTotal,Type,AreaUnformatted,HalfBathTotal,PriceUnformattedValue,Longitude,Latitude
27544119,A2173223,1,1 + 0,618.7 sqft,3,Apartment,619 sqft,0,200000,-114.159416394,51.083348729
27544017,A2173030,2,3 + 0,833 sqft,5,Apartment,833 sqft,0,419900,-113.962344624,51.147713672
27544015,A2172046,3,3 + 0,1648.7 sqft,2,House,1649 sqft,1,599900,-114.054038837,51.17213414
27544014,A2173256,2,3 + 0,917 sqft,2,Row / Townhouse,917 sqft,0,369999,-114.154073951,51.103756614
27544013,A2173238,2,3 + 2,1125 sqft,1,House,1125 sqft,0,889900,-114.068233295,51.011907881
27544012,A2173252,4,3 + 1,1727 sqft,2,Duplex,1727 sqft,1,749900,-114.071954263,51.072585818
27544005,A2173214,2,2 + 0,764 sqft,4,Apartment,764 sqft,0,349900,-114.215813692,51.150941253
27543754,A2172960,2,2 + 2,854 sqft,,House,854 sqft,0,499000,-113.941438649,51.053225283
27543753,A2171571,3,1 + 2,1520 sqft,1,House,1520 sqft,1,850000,-114.095217031,50.924158869
27543724,A2171201,1,1 + 0,669.82 sqft,4,Apartment,670 sqft,0,239300,-114.118535772,50.905440675
27543646,A2173196,2,2 + 0,842 sqft,4,Apartment,842 sqft,0,395000,-114.1327949,51.1791092
27543645,A2173249,4,3 + 2,1958 sqft,2,Duplex,1958 sqft,1,874900,-114.057011416,51.082992727
27543632,A2173247,4,3 + 2,1958 sqft,2,Duplex,1958 sqft,1,874900,-114.057011416,51.082992727
27543600,A2173083,1,1 + 0,581 sqft,3,Apartment,581 sqft,0,175000,-113.978259766,51.039016527
27543507,A2173191,3,3 + 0,1658 sqft,2,House,1658 sqft,1,575000,-113.927474,51.0897056
27543483,A2167269,1,0 + 2,850.6 sqft,4,Apartment,851 sqft,0,259900,-114.159513531,51.083884927
27543481,A2172291,1,2 + 0,769 sqft,4,Apartment,769 sqft,0,245000,-114.103012599,51.043774671
27543435,A2171700,2,2 + 0,1187.58 sqft,4,Apartment,1188 sqft,0,429900,-114.20328154,51.140749558
27543378,A2173098,1,1 + 0,602.69 sqft,4,Apartment,603 sqft,0,289900,-114.069739436,51.031212389
27543376,A2172897,3,3 + 1,1312 sqft,2,Row / Townhouse,1312 sqft,1,449900,-114.001816834,50.955257365
27543373,A2173200,3,2 + 0,904.77 sqft,2,Row / Townhouse,905 sqft,1,398000,-114.249583956,51.14248171
27543349,A2173179,3,3 + 0,1425 sqft,2,Row / Townhouse,1425 sqft,1,599900,-114.002559647,50.871179383
27543348,A2172202,3,3 + 0,4077 sqft,2,House,4077 sqft,1,4100000,-114.078808476,51.06157173
27543240,A2172907,4,3 + 2,1787.15 sqft,2,House,1787 sqft,1,715000,-114.096365589,51.143909842
27543140,A2173033,2,2 + 0,805 sqft,4,Apartment,805 sqft,0,264000,-114.014853607,51.066002491
27543136,A2173077,3,2 + 0,1807 sqft,2,Row / Townhouse,1807 sqft,1,454900,-113.923933187,50.923516297
27543133,A2172988,4,3 + 0,2088.66 sqft,2,House,2089 sqft,1,788000,-114.172680715,51.177821389
27543048,A2173070,4,2 + 1,1315.03 sqft,2,Row / Townhouse,1315 sqft,1,625000,-114.163252583,51.07506694
27542918,A2173210,1,1 + 0,680.39 sqft,4,Apartment,680 sqft,0,299900,-114.069739436,51.031212389
27542895,A2172401,2,3 + 0,1462.4 sqft,,Row / Townhouse,1462 sqft,1,399990,-114.1838991,51.1170398
27542894,A2172992,4,3 + 1,1970.82 sqft,2,House,1971 sqft,1,699900,-113.967595629,51.120139576
27542715,A2173088,3,3 + 0,1308.4 sqft,2,Row / Townhouse,1308 sqft,1,726900,-114.107768628,51.072603336
27542695,A2172559,3,3 + 0,1582 sqft,2,House,1582 sqft,1,639900,-114.184248791,51.145757646
27542694,A2173202,2,3 + 0,1350 sqft,2,House,1350 sqft,1,499900,-114.016849104,50.938299412
27542693,A2172928,2,2 + 1,979 sqft,,Duplex,979 sqft,0,629000,-114.107571466,51.077350127
27542690,A2172986,4,3 + 1,1864 sqft,2,House,1864 sqft,1,660000,-113.982778719,50.941239448
27542663,A2171530,3,2 + 2,1355 sqft,1,House,1355 sqft,0,775000,-114.048681599,50.970782249
27542559,A2173129,3,3 + 0,2037.37 sqft,2,House,2037 sqft,1,719900,-114.039835778,50.877242868
27542479,A2169929,4,3 + 0,2012.96 sqft,2,House,2013 sqft,1,799000,-114.15647262,51.181883687
27542478,A2173165,1,1 + 0,477.07 sqft,4,Apartment,477 sqft,0,275000,-114.127689743,51.082402723
27542476,A2172822,4,4 + 1,2033 sqft,2,House,2033 sqft,1,1425000,-114.046908089,50.951583808
27542467,A2173132,1,1 + 0,566.5 sqft,15,Apartment,566 sqft,0,245000,-114.093843904,51.039707953
27542269,A2173018,2,2 + 2,1081 sqft,1,House,1081 sqft,0,589900,-113.976648712,51.060991029
27542167,A2172828,1,1 + 0,620 sqft,4,Apartment,620 sqft,0,169900,-114.074285978,51.001689292
27541806,A2172745,4,3 + 1,2179.96 sqft,2,House,2180 sqft,1,855000,-114.221184822,51.126119041
27541804,A2173095,4,3 + 1,1941.06 sqft,2,Row / Townhouse,1941 sqft,1,889999,-114.2053693,51.0332334
27541713,A2162407,3,4 + 0,2357.36 sqft,2,House,2357 sqft,1,858858,-114.15387395,51.13454871
27541708,A2173104,5,4 + 1,2515 sqft,3,House,2515 sqft,1,1350000,-114.1147936,51.0503886
27541671,A2170565,4,3 + 2,1964.47 sqft,2,House,1964 sqft,1,1248888,-114.1144676,51.0057097
27541658,A2173075,1,2 + 0,830.3 sqft,1,Row / Townhouse,830 sqft,0,384900,-114.138790303,51.17807505
27541554,A2172596,3,3 + 1,1055.62 sqft,,House,1056 sqft,1,595000,-114.039072241,51.170253375
27541411,A2173112,2,2 + 0,940.85 sqft,4,Apartment,941 sqft,0,364900,-114.095079923,51.033612817
27541410,A2173113,1,2 + 0,875 sqft,3,Apartment,875 sqft,0,299999,-114.122697435,51.036693598
27541405,A2173068,4,3 + 1,1971.6 sqft,2,Duplex,1972 sqft,1,1079000,-114.1603494,51.07773
27541371,A2171931,2,2 + 0,871 sqft,8,Apartment,871 sqft,0,299900,-114.125595947,51.070747903
27541370,A2169949,2,2 + 0,875.44 sqft,4,Apartment,875 sqft,0,349900,-114.023850482,50.860072145
27541041,A2173020,1,1 + 0,623 sqft,4,Apartment,623 sqft,0,275000,-114.167324015,51.057942985
27541034,A2173097,2,3 + 0,1116 sqft,,House,1116 sqft,1,620000,-114.060681471,50.919233711
27541030,A2172891,3,3 + 2,1027.59 sqft,1,House,1028 sqft,1,579000,-113.999903073,51.018968055
27540967,A2172857,1,1 + 0,537 sqft,21,Apartment,537 sqft,0,293000,-114.0885027,51.0424764
27540861,A2165715,2,2 + 0,1645.63 sqft,2,Row / Townhouse,1646 sqft,1,575000,-114.147395737,51.060734869
27540743,A2173069,3,3 + 0,1547.32 sqft,2,Row / Townhouse,1547 sqft,1,499999,-113.926308272,51.128565504
27540716,A2172926,1,1 + 0,664 sqft,26,Apartment,664 sqft,0,295000,-114.086705959,51.043511968
27540712,A2173058,1,2 + 0,862.12 sqft,2,Row / Townhouse,862 sqft,0,409900,-114.13501054,51.026762323
27540632,A2173064,5,4 + 1,3032 sqft,3,Duplex,3032 sqft,1,1299900,-114.098327109,51.054174727
27540624,A2170418,4,3 + 1,1938 sqft,2,House,1938 sqft,1,1299800,-114.13791843,51.032617193
27540419,A2171948,3,4 + 0,1869 sqft,,Row / Townhouse,1869 sqft,1,585000,-114.162514801,51.109308962
27540416,A2172882,2,2 + 0,820 sqft,4,Apartment,820 sqft,0,403000,-114.074924499,51.067609987
27540413,A2171916,4,3 + 1,1935.89 sqft,2,House,1936 sqft,1,799900,-114.207316705,51.053985004
27540412,A2173035,3,4 + 1,1672.47 sqft,2,House,1672 sqft,0,629900,-113.976483059,51.093723199
27540411,A2172976,2,2 + 0,772.31 sqft,3,Apartment,772 sqft,0,355000,-113.932810789,50.92412975
27540406,A2172435,1,1 + 0,555 sqft,4,Apartment,555 sqft,0,229900,-114.0730209,51.033185
27540261,A2172001,4,3 + 0,2005.77 sqft,3,Row / Townhouse,2006 sqft,1,649900,-114.077139637,51.067608
27540233,A2171398,5,2 + 3,2438.72 sqft,1,House,2439 sqft,1,1590000,-114.174209153,51.033299577
27540232,A2172540,2,2 + 0,755.76 sqft,4,Apartment,756 sqft,0,314990,-113.932350057,51.125549695
27540055,A2171774,3,3 + 0,1319.35 sqft,2,Row / Townhouse,1319 sqft,1,540000,-114.000387056,50.874447532
27540050,A2159208,2,3 + 0,1446 sqft,10,Apartment,1446 sqft,0,414800,-114.056881725,51.053070507
27539978,A2172065,3,3 + 1,1230 sqft,2,House,1230 sqft,1,569900,-114.007262978,50.978587859
27539970,A2171404,4,3 + 1,1961 sqft,2,Duplex,1961 sqft,1,865000,-114.050362044,51.07490039
27539969,A2172904,3,3 + 2,1108 sqft,2,Duplex,1108 sqft,1,454990,-113.9802879,51.0498131
27539876,A2172837,4,4 + 0,1862.76 sqft,3,Row / Townhouse,1863 sqft,1,535000,-113.931889447,51.153776104
27539847,A2172856,2,3 + 0,1288 sqft,2,House,1288 sqft,1,599000,-114.09648778,51.126623874
27539723,A2172608,4,3 + 1,2252.1 sqft,2,House,2252 sqft,1,639999,-114.079693492,50.894899998
27539719,A2172809,4,3 + 2,2459.8 sqft,3,House,2460 sqft,1,1150000,-114.119148672,51.076602803
27539707,A2172999,4,3 + 1,1659.05 sqft,2,House,1659 sqft,1,647000,-114.056054157,51.170820894
27539643,A2172527,4,3 + 2,2723 sqft,2,House,2723 sqft,1,1369900,-114.088491483,50.888917455
27539534,A2172982,3,2 + 0,1646 sqft,2,Row / Townhouse,1646 sqft,1,639000,-114.151731839,51.086966724
27539533,A2172373,3,2 + 2,1272 sqft,1,House,1272 sqft,0,740000,-114.090183052,51.154857428
27539498,A2171169,1,1 + 0,674.8 sqft,4,Apartment,675 sqft,0,225000,-114.09554074,51.038809403
27539497,A2172993,5,4 + 1,2859 sqft,2,House,2859 sqft,1,1449999.99,-114.188191132,51.026303685
27539174,A2172455,5,4 + 2,2826 sqft,2,House,2826 sqft,0,989900,-113.934124156,51.126338153
27539173,A2171767,1,1 + 0,707.59 sqft,4,Apartment,708 sqft,0,219900,-114.161092521,51.015471686
27539170,A2172942,3,3 + 0,1690.76 sqft,2,House,1691 sqft,1,639000,-114.102955151,51.181339491
27539151,A2173010,2,2 + 0,1373.95 sqft,14,Apartment,1374 sqft,0,1499000,-114.077190201,51.05273876
27538987,A2172852,4,5 + 2,2804 sqft,2,House,2804 sqft,0,925000,-114.1852745,51.1355206
27538986,A2172934,3,4 + 0,1883.38 sqft,2,House,1883 sqft,0,689900,-113.9135596,50.8872485
27538985,A2172699,2,2 + 0,1296.11 sqft,5,Apartment,1296 sqft,0,799900,-114.020845561,50.963511214
27538982,A2172910,3,2 + 1,2447 sqft,2,House,2447 sqft,0,1499900,-114.104407,51.061844
27538679,A2172361,2,3 + 1,910 sqft,1,House,910 sqft,0,579999,-114.210555968,51.093056631
27538518,A2172911,2,3 + 0,1237 sqft,1,Mobile Home,1237 sqft,0,183500,-114.223167311,51.092479171
27538338,A2172985,2,2 + 2,1068.2 sqft,,House,1068 sqft,0,549900,-113.957214157,51.103951313
27538229,A2172883,2,3 + 0,950 sqft,2,Row / Townhouse,950 sqft,1,310000,-113.967697017,51.046609662
27538136,A2172957,1,1 + 0,487 sqft,25,Apartment,487 sqft,0,249900,-114.086705959,51.043511968
27538041,A2172955,3,3 + 0,1447 sqft,2,House,1447 sqft,1,629900,-113.938060499,50.910482967
27537950,A2172946,2,2 + 0,1211 sqft,1,Row / Townhouse,1211 sqft,0,499900,-114.104882454,51.029248069
27537905,A2149591,4,3 + 2,2056 sqft,2,House,2056 sqft,1,769900,-114.06939013,51.1522045
27537789,A2172923,4,3 + 1,1613 sqft,2,Duplex,1613 sqft,1,679900,-114.169832162,51.184871665
27537784,A2172921,1,1 + 0,806.3 sqft,5,Apartment,806 sqft,0,549900,-113.933294113,50.896821979
27537783,A2171878,3,4 + 0,2382.83 sqft,2,House,2383 sqft,1,799000,-114.117672989,51.176518343
27537759,A2172802,5,7 + 1,2682.2 sqft,2,House,2682 sqft,1,889889,-113.965063194,51.086911862
27537724,A2172906,5,4 + 1,3381 sqft,2,House,3381 sqft,1,2549000,-114.103003122,51.011263882
27537650,A2171346,3,2 + 0,1341.25 sqft,3,Row / Townhouse,1341 sqft,1,418000,-113.955471119,51.167140746
27537624,A2172572,3,3 + 1,1134 sqft,1,House,1134 sqft,1,569800,-113.995654169,51.017735508
27537579,A2172803,2,2 + 2,1073.9 sqft,,House,1074 sqft,0,450000,-113.969011726,51.082868032
27537570,A2172892,4,3 + 3,1865 sqft,2,House,1865 sqft,1,838000,-114.137272032,51.130341437
27537510,A2171761,1,2 + 0,945 sqft,1,Row / Townhouse,945 sqft,0,350000,-113.947415293,50.895545637
27537465,A2172088,2,3 + 2,999.41 sqft,1,House,999 sqft,0,564900,-113.977627681,51.035847438
27537451,A2172884,3,4 + 0,1845 sqft,2,House,1845 sqft,0,688800,-113.9370939,51.1688705
27537444,A2171860,3,4 + 0,2035.11 sqft,3,House,2035 sqft,1,850000,-114.1635553,51.0732689
27537416,A2172336,3,3 + 0,1284.15 sqft,2,House,1284 sqft,1,564900,-113.933136833,51.12160457
27537415,A2172849,4,3 + 1,1794 sqft,2,House,1794 sqft,1,765000,-114.024711863,50.888180636
27537334,A2172885,2,2 + 0,738.04 sqft,4,Apartment,738 sqft,0,315000,-113.919734745,50.91466436
27537314,A2170005,2,2 + 0,903.8 sqft,27,Apartment,904 sqft,0,439000,-114.066597306,51.040258279
27537256,A2172880,2,2 + 0,920.36 sqft,24,Apartment,920 sqft,0,475000,-114.060223089,51.03903483
27537197,A2172660,1,3 + 0,1095.13 sqft,2,Row / Townhouse,1095 sqft,0,349900,-114.015491009,51.072616655
27537193,A2170931,1,1 + 0,667 sqft,3,Apartment,667 sqft,0,269900,-114.072055838,51.144820977
27537185,A2172858,4,3 + 1,1948 sqft,3,Row / Townhouse,1948 sqft,1,560000,-113.931712331,51.153561204
27537184,A2172340,4,3 + 2,2036.98 sqft,2,Duplex,2037 sqft,1,1275000,-114.1088836,51.0246855
27537183,A2172872,4,4 + 2,1801 sqft,2,House,1801 sqft,0,739999,-114.005996,50.8729875
27537182,A2172867,1,1 + 0,689 sqft,4,Apartment,689 sqft,0,258000,-114.068191006,51.003148545
27537181,A2172805,3,4 + 0,1808.34 sqft,2,House,1808 sqft,0,709999,-113.9523466,51.1389339
27537157,A2171681,4,4 + 0,1771 sqft,3,Row / Townhouse,1771 sqft,1,535000,-113.932010105,51.153528335
27537133,A2172861,2,2 + 0,835 sqft,4,Apartment,835 sqft,0,339900,-114.238388761,51.138979707
27537024,A2172786,3,3 + 0,1869.1 sqft,2,House,1869 sqft,1,759990,-114.2161892,51.1345296
27537023,A2170243,4,4 + 1,2370.87 sqft,2,House,2371 sqft,1,1200000,-114.178510422,51.026305429
27537010,A2172793,3,3 + 1,2330 sqft,2,House,2330 sqft,1,800000,-114.215548382,51.10730227
27537009,A2172781,1,2 + 0,735 sqft,4,Apartment,735 sqft,0,315000,-114.088996469,51.067600282
27536929,A2172846,2,2 + 0,849 sqft,4,Apartment,849 sqft,0,333000,-114.136532537,51.126835663
27536917,A2172845,1,1 + 0,504.9 sqft,6,Apartment,505 sqft,0,219500,-114.07197996,51.035787465
27536916,A2171352,3,4 + 0,2306.47 sqft,2,House,2306 sqft,1,1325000,-114.023108599,50.913672544
27536898,A2172606,3,3 + 0,1911 sqft,2,House,1911 sqft,1,709900,-114.069968135,50.873520804
27536882,A2172819,2,2 + 0,1356 sqft,3,Apartment,1356 sqft,0,299000,-114.0145529,51.0660675
27536881,A2171331,3,3 + 0,2615 sqft,2,House,2615 sqft,1,974900,-113.959414709,50.909851904
27536833,A2172573,1,1 + 0,560.87 sqft,8,Apartment,561 sqft,0,285000,-114.075576906,50.922002523
27536743,A2169830,3,3 + 0,1707 sqft,2,House,1707 sqft,1,649900,-114.0513943,51.1533779
27536742,A2172834,3,3 + 3,1040 sqft,,House,1040 sqft,1,679900,-113.9405901,51.092194033
27536740,A2172827,2,3 + 0,1197.54 sqft,2,Row / Townhouse,1198 sqft,1,399900,-114.187856797,51.102784777
27536739,A2172835,1,1 + 0,426 sqft,31,Apartment,426 sqft,0,295000,-114.076081161,51.043417455
27536738,A2172810,1,1 + 0,705.79 sqft,4,Apartment,706 sqft,0,375900,-114.130249627,51.015698526
27536737,A2171293,1,3 + 0,1040.2 sqft,1,House,1040 sqft,0,529900,-114.057019786,50.972506764
27536706,A2172750,4,3 + 1,1764.83 sqft,2,House,1765 sqft,1,735000,-113.947695189,51.131507271
27536681,A2172830,3,3 + 0,2302 sqft,28,Apartment,2302 sqft,1,1558000,-114.080193052,51.03878605
27536668,A2172175,1,1 + 0,662 sqft,4,Apartment,662 sqft,0,329900,-114.068404,51.033936
27536629,A2171451,3,3 + 0,1783.52 sqft,2,Duplex,1784 sqft,1,639900,-113.99957282,50.854484276
27536605,A2171716,4,3 + 2,1356.2 sqft,2,Duplex,1356 sqft,1,659900,-114.0659113,50.872541
27536604,A2171207,3,3 + 1,2005.48 sqft,2,House,2005 sqft,1,775000,-114.14736592,51.18069623
27536601,A2172584,2,2 + 2,1071.66 sqft,,House,1072 sqft,0,549900,-113.959003311,51.081037245
27536600,A2171668,2,2 + 0,872.6 sqft,4,Apartment,873 sqft,1,458888,-114.04130574,51.153574119
27536548,A2172738,3,3 + 1,1504 sqft,2,House,1504 sqft,1,649900,-114.075675971,50.884948679
27536541,A2172506,3,3 + 0,1569.6 sqft,3,Row / Townhouse,1570 sqft,1,487000,-114.151996,51.1672492
27536531,A2172776,3,3 + 0,1807.96 sqft,2,House,1808 sqft,1,725000,-114.048647,51.185892
27536529,A2172467,4,5 + 0,2875 sqft,2,House,2875 sqft,1,999999,-113.996963594,50.918721092
27536525,A2171955,1,2 + 0,762.06 sqft,3,Apartment,762 sqft,0,249900,-114.12415797,51.037104485
27536498,A2172811,2,2 + 0,747 sqft,4,Apartment,747 sqft,0,315000,-113.933415049,51.039025035
27536487,A2172621,5,4 + 1,4180.33 sqft,2,House,4180 sqft,1,2794000,-114.208579236,51.026992172
27536457,A2172765,3,3 + 0,1322.61 sqft,3,Row / Townhouse,1323 sqft,1,499500,-114.055627532,50.863683719
27536336,A2172658,4,3 + 1,1369.9 sqft,2,House,1370 sqft,1,629999,-113.960592268,50.918981654
27536335,A2171705,1,1 + 0,705.28 sqft,9,Apartment,705 sqft,0,259000,-114.09324338,51.041993484
27536319,A2172774,3,3 + 0,1600 sqft,2,House,1600 sqft,1,724900,-114.092318,51.1881649
27536318,A2172522,2,2 + 0,919.51 sqft,1,House,920 sqft,0,969900,-114.134401502,51.032136197
27536252,A2172655,1,0 + 2,770.95 sqft,3,Apartment,771 sqft,0,249900,-114.07125013,50.896908483
27536251,A2169746,1,1 + 0,699.8 sqft,4,Apartment,700 sqft,0,169900,-114.0563425,51.0966133
27536250,A2172568,,,538.2 sqft,,Multi-Family,538 sqft,,3318000,-114.198157107,51.092566808
27536233,A2172585,2,2 + 0,950 sqft,24,Apartment,950 sqft,0,429900,-114.060223089,51.03903483
27536204,A2172420,1,1 + 0,613.86 sqft,4,Apartment,614 sqft,0,345000,-114.130249627,51.015698526
27536203,A2172301,1,1 + 0,492 sqft,4,Apartment,492 sqft,0,295000,-114.020607493,51.038937702
27536192,A2172161,4,3 + 0,2081.85 sqft,2,House,2082 sqft,1,815000,-113.992261604,50.904540274
27536189,A2170870,1,2 + 0,529.05 sqft,13,Apartment,529 sqft,0,339000,-114.128347886,51.086845821
27536188,A2172403,1,1 + 0,558 sqft,4,Apartment,558 sqft,0,194900,-114.07263297,51.037573387
27536169,A2172792,2,2 + 0,1302 sqft,14,Apartment,1302 sqft,0,450000,-114.084615862,51.040809022
27536168,A2172758,5,4 + 4,2392.8 sqft,2,House,2393 sqft,1,839900,-113.969233434,51.167789394
27536104,A2172619,4,3 + 0,1797.98 sqft,2,House,1798 sqft,2,649900,-113.955423772,50.919533058
27536084,A2171262,1,2 + 0,909 sqft,2,Row / Townhouse,909 sqft,0,329999,-114.058453566,51.109689878
27536083,A2172149,4,3 + 1,2370 sqft,2,House,2370 sqft,1,2150000,-114.12177555,51.094317819
27536082,A2172779,2,3 + 0,1151.92 sqft,2,Duplex,1152 sqft,1,410000,-113.955086819,51.101633036
27536076,A2172757,2,2 + 0,907.46 sqft,2,Row / Townhouse,907 sqft,0,369900,-114.054690229,51.109341996
27536061,A2172708,2,3 + 2,1082 sqft,1,House,1082 sqft,0,615000,-113.985856667,51.03507913
27536059,A2172789,3,3 + 0,1352 sqft,2,Row / Townhouse,1352 sqft,1,449000,-114.082689792,50.88729985
27536037,A2172785,3,2 + 2,953 sqft,,House,953 sqft,0,715000,-114.066200175,51.108794711
27536036,A2167774,2,0 + 2,524.77 sqft,,Row / Townhouse,525 sqft,1,299500,-113.970379,51.0418027
27536035,A2172532,2,3 + 2,1021.75 sqft,1,House,1022 sqft,0,599900,-113.979730777,51.0358469
27536009,A2172783,3,3 + 3,1187.58 sqft,1,House,1188 sqft,0,560000,-113.953022751,51.047176198
27536008,A2172672,2,2 + 1,960 sqft,1,House,960 sqft,0,535000,-113.93710176,51.063823223
27536007,A2172767,4,3 + 1,1467 sqft,2,House,1467 sqft,1,635000,-113.970414997,50.928562282
27536004,A2172777,2,2 + 0,841.1 sqft,4,Apartment,841 sqft,0,315000,-113.928209327,51.12550117
27535903,A2172574,2,2 + 0,1131 sqft,2,Row / Townhouse,1131 sqft,1,389000,-113.942893467,51.121820819
27535902,A2172778,,,3719 sqft,,Multi-Family,3719 sqft,,3200000,-114.0919829,51.0420704
27535897,A2170402,4,3 + 1,1966.38 sqft,2,Duplex,1966 sqft,1,969000,-114.082339815,51.072578263
27535896,A2172683,2,2 + 0,951.08 sqft,4,Apartment,951 sqft,1,419900,-114.078223261,50.922211903
27535863,A2172651,1,1 + 0,690.1 sqft,26,Apartment,690 sqft,0,299000,-114.086705959,51.043511968
27535848,A2171434,3,3 + 2,2537.15 sqft,1,House,2537 sqft,0,2000000,-114.074579324,51.035000467
27535847,A2172474,4,4 + 2,2032 sqft,2,House,2032 sqft,0,998500,-113.931040982,51.157191367
27535826,A2172085,4,3 + 1,1155.57 sqft,,House,1156 sqft,2,799000,-114.18830815,51.10072505
27535824,A2169544,4,3 + 1,2924 sqft,2,House,2924 sqft,1,1024900,-113.929952171,50.902391695
27535793,A2158634,3,2 + 0,1019.5 sqft,4,Apartment,1020 sqft,1,354900,-114.068660695,50.900736964
27535754,A2172623,2,2 + 0,895 sqft,3,Apartment,895 sqft,0,369999,-114.215522231,51.132935188
27535745,A2170590,3,3 + 0,1733.49 sqft,3,Row / Townhouse,1733 sqft,1,593100,-114.128384557,51.036691598
27535738,A2172722,3,3 + 0,1366.12 sqft,2,Row / Townhouse,1366 sqft,1,524998,-113.9630122,51.1521777
27535736,A2172617,2,2 + 0,950 sqft,34,Apartment,950 sqft,0,415000,-114.060303692,51.038832701
27535719,A2169425,1,1 + 0,488.8 sqft,1,Row / Townhouse,489 sqft,0,315000,-114.127982762,51.087331354
27535664,A2172371,3,3 + 0,1782.9 sqft,2,Duplex,1783 sqft,1,629000,-114.112690946,51.186362709
27535633,A2171246,2,2 + 0,1097.4 sqft,2,Row / Townhouse,1097 sqft,0,339900,-113.933386362,51.059217546
27535611,A2172739,3,3 + 2,1246 sqft,1,House,1246 sqft,1,949999,-114.142068584,51.050778967
27535589,A2172599,3,3 + 2,1003.1 sqft,1,House,1003 sqft,0,574900,-114.066239968,51.12957147
27535588,A2170023,6,4 + 1,4294 sqft,2,House,4294 sqft,1,2795000,-113.927219754,50.893851281
27535571,A2172589,3,3 + 0,1782 sqft,2,House,1782 sqft,1,639900,-113.972686918,51.085624781
27535524,A2171372,3,3 + 0,1788.82 sqft,2,House,1789 sqft,1,685000,-113.998685129,50.855300173
27535499,A2172215,4,4 + 1,2219.9 sqft,2,House,2220 sqft,1,839999,-114.111519532,51.16291152
27535486,A2172756,1,2 + 0,765.1 sqft,8,Apartment,765 sqft,0,259900,-114.0944418,51.05362
27535484,A2172199,3,3 + 0,1382 sqft,2,Row / Townhouse,1382 sqft,1,574900,-114.0801192,51.1839196
27535483,A2172706,2,3 + 0,1108 sqft,,Row / Townhouse,1108 sqft,1,379900,-114.029666769,50.932754854
27535480,A2172201,2,3 + 1,1412 sqft,2,Row / Townhouse,1412 sqft,0,614900,-114.144164,51.1736159
27535451,A2169602,1,1 + 0,524.29 sqft,4,Apartment,524 sqft,0,311000,-114.0866245,51.0369265
27535449,A2172113,3,2 + 0,2406.64 sqft,10,Apartment,2407 sqft,1,2800000,-114.056881725,51.053070507
27535420,A2172720,5,3 + 1,1654 sqft,2,House,1654 sqft,2,1450000,-114.079951539,51.023682296
27535419,A2172753,2,3 + 0,1055 sqft,2,House,1055 sqft,0,499804,-113.952117,51.1126289
27535387,A2172695,3,3 + 1,1189.66 sqft,2,House,1190 sqft,1,629900,-113.955729586,51.118284821
27535386,A2172752,4,2 + 2,1734.75 sqft,,House,1735 sqft,1,1274900,-114.086523211,50.983205056
27535367,A2171770,3,2 + 0,1263 sqft,3,Row / Townhouse,1263 sqft,1,449900,-114.160963799,51.180118465
27535366,A2171919,5,5 + 1,3217.52 sqft,2,House,3218 sqft,0,1589900,-114.136021625,51.143812951
27535360,A2172724,1,2 + 0,815 sqft,3,Apartment,815 sqft,0,244900,-114.0864345,50.9528843
27535359,A2172731,1,2 + 0,1004 sqft,5,Apartment,1004 sqft,0,265000,-114.075867003,51.002164663
27535352,A2172744,4,3 + 0,1673 sqft,2,House,1673 sqft,2,699999,-114.118297955,51.163228885
27535342,A2172484,4,3 + 1,1865.5 sqft,2,House,1866 sqft,1,799000,-113.929685933,51.106050542
27535340,A2172408,1,1 + 0,459 sqft,14,Apartment,459 sqft,0,279990,-114.0518591,51.0532071
27535303,A2172740,4,3 + 0,1601.4 sqft,2,House,1601 sqft,1,639900,-114.048980623,50.885861982
27535293,A2172732,2,3 + 1,1074.86 sqft,2,House,1075 sqft,0,529990,-113.954322695,51.115410602
27535292,A2172452,2,2 + 0,753 sqft,6,Apartment,753 sqft,0,329900,-113.957228144,51.16493077
27535273,A2171423,3,0 + 3,943 sqft,1,House,943 sqft,0,749000,-114.06116187,51.029347392
27535272,A2172567,2,2 + 1,996.57 sqft,,Duplex,997 sqft,0,424000,-113.943015773,51.079815601
27535267,A2172736,3,3 + 3,1763 sqft,1,House,1763 sqft,0,729900,-113.9608756,51.1030782
27535266,A2172003,1,1 + 0,590.25 sqft,4,Apartment,590 sqft,0,245000,-114.079728369,51.035440329
27535209,A2171929,6,5 + 3,4272 sqft,2,House,4272 sqft,1,1999999,-114.153612635,51.110736563
27535208,A2172632,2,2 + 0,907.73 sqft,4,Apartment,908 sqft,0,364900,-113.93170448,50.926024978
27535171,A2172729,4,2 + 1,1296 sqft,3,Row / Townhouse,1296 sqft,1,474888,-114.136064714,51.17243165
27535170,A2170998,2,2 + 0,878.3 sqft,6,Apartment,878 sqft,0,541000,-113.9351869,50.8976718
27535033,A2172264,1,1 + 0,623 sqft,9,Apartment,623 sqft,0,349900,-114.1182825,51.0375917
27535032,A2172290,2,2 + 0,935.6 sqft,4,Apartment,936 sqft,0,299900,-114.068660695,50.900736964
27535014,A2171592,3,3 + 2,1319.77 sqft,,House,1320 sqft,0,768000,-114.059678784,51.15107667
27535013,A2169530,4,3 + 0,1267 sqft,2,Row / Townhouse,1267 sqft,1,529000,-113.960256218,51.152806068
